state,month,monthly_deaths_2022
Alabama,2022-01,518172
Alabama,2022-02,495431
Alabama,2022-03,585823
Alabama,2022-04,583766
Alabama,2022-05,608398
Alabama,2022-06,590972
Alabama,2022-07,614633
Alabama,2022-08,620378
Alabama,2022-09,609407
Alabama,2022-10,635596
Alabama,2022-11,627708
Alabama,2022-12,656441
Alaska,2022-01,30806
Alaska,2022-02,30601
Alaska,2022-03,36216
Alaska,2022-04,35987
Alaska,2022-05,38167
Alaska,2022-06,37380
Alaska,2022-07,39082
Alaska,2022-08,39866
Alaska,2022-09,39318
Alaska,2022-10,41848
Alaska,2022-11,41426
Alaska,2022-12,43306
Arizona,2022-01,781833
Arizona,2022-02,762211
Arizona,2022-03,880800
Arizona,2022-04,891636
Arizona,2022-05,936692
Arizona,2022-06,911922
Arizona,2022-07,949729
Arizona,2022-08,959054
Arizona,2022-09,936918
Arizona,2022-10,975393
Arizona,2022-11,949112
Arizona,2022-12,989769
Arkansas,2022-01,292112
Arkansas,2022-02,282922
Arkansas,2022-03,339972
Arkansas,2022-04,339966
Arkansas,2022-05,354325
Arkansas,2022-06,345989
Arkansas,2022-07,360806
Arkansas,2022-08,366640
Arkansas,2022-09,360135
Arkansas,2022-10,383092
Arkansas,2022-11,376121
Arkansas,2022-12,392268
California,2022-01,2423843
California,2022-02,2325923
California,2022-03,2717982
California,2022-04,2691394
California,2022-05,2821098
California,2022-06,2759635
California,2022-07,2884461
California,2022-08,2925109
California,2022-09,2866086
California,2022-10,2991220
California,2022-11,2963880
California,2022-12,3111066
Colorado,2022-01,336744
Colorado,2022-02,329758
Colorado,2022-03,375573
Colorado,2022-04,367474
Colorado,2022-05,393240
Colorado,2022-06,385731
Colorado,2022-07,405520
Colorado,2022-08,412028
Colorado,2022-09,403058
Colorado,2022-10,420665
Colorado,2022-11,408774
Colorado,2022-12,427078
Connecticut,2022-01,296960
Connecticut,2022-02,288036
Connecticut,2022-03,330582
Connecticut,2022-04,324398
Connecticut,2022-05,338063
Connecticut,2022-06,330307
Connecticut,2022-07,343396
Connecticut,2022-08,346352
Connecticut,2022-09,339539
Connecticut,2022-10,353777
Connecticut,2022-11,346107
Connecticut,2022-12,361751
Delaware,2022-01,74717
Delaware,2022-02,73904
Delaware,2022-03,86695
Delaware,2022-04,86651
Delaware,2022-05,90973
Delaware,2022-06,89174
Delaware,2022-07,93174
Delaware,2022-08,94070
Delaware,2022-09,92530
Delaware,2022-10,96972
Delaware,2022-11,94757
Delaware,2022-12,98850
District of Columbia,2022-01,38807
District of Columbia,2022-02,36611
District of Columbia,2022-03,41109
District of Columbia,2022-04,40014
District of Columbia,2022-05,41573
District of Columbia,2022-06,40438
District of Columbia,2022-07,42069
District of Columbia,2022-08,42591
District of Columbia,2022-09,41488
District of Columbia,2022-10,43172
District of Columbia,2022-11,42623
District of Columbia,2022-12,43657
Florida,2022-01,1965986
Florida,2022-02,1899640
Florida,2022-03,2235314
Florida,2022-04,2209766
Florida,2022-05,2301324
Florida,2022-06,2252660
Florida,2022-07,2377000
Florida,2022-08,2441946
Florida,2022-09,2420797
Florida,2022-10,2538811
Florida,2022-11,2479477
Florida,2022-12,2585281
Georgia,2022-01,956235
Georgia,2022-02,923272
Georgia,2022-03,1082866
Georgia,2022-04,1081046
Georgia,2022-05,1134484
Georgia,2022-06,1105845
Georgia,2022-07,1156128
Georgia,2022-08,1173219
Georgia,2022-09,1153238
Georgia,2022-10,1205942
Georgia,2022-11,1181663
Georgia,2022-12,1233864
Guam,2022-01,8597
Guam,2022-02,8646
Guam,2022-03,10495
Guam,2022-04,10607
Guam,2022-05,11166
Guam,2022-06,11085
Guam,2022-07,11658
Guam,2022-08,12002
Guam,2022-09,11896
Guam,2022-10,12464
Guam,2022-11,12186
Guam,2022-12,12741
Hawaii,2022-01,34819
Hawaii,2022-02,35352
Hawaii,2022-03,42112
Hawaii,2022-04,41730
Hawaii,2022-05,44474
Hawaii,2022-06,44113
Hawaii,2022-07,47531
Hawaii,2022-08,49836
Hawaii,2022-09,49825
Hawaii,2022-10,52540
Hawaii,2022-11,51518
Hawaii,2022-12,54123
Idaho,2022-01,132833
Idaho,2022-02,128824
Idaho,2022-03,149746
Idaho,2022-04,147288
Idaho,2022-05,153037
Idaho,2022-06,148682
Idaho,2022-07,155189
Idaho,2022-08,157432
Idaho,2022-09,154446
Idaho,2022-10,161222
Idaho,2022-11,157488
Idaho,2022-12,164371
Illinois,2022-01,1014819
Illinois,2022-02,1006690
Illinois,2022-03,1158517
Illinois,2022-04,1134091
Illinois,2022-05,1178841
Illinois,2022-06,1151096
Illinois,2022-07,1200829
Illinois,2022-08,1212833
Illinois,2022-09,1185480
Illinois,2022-10,1235296
Illinois,2022-11,1204690
Illinois,2022-12,1255304
Indiana,2022-01,627827
Indiana,2022-02,622660
Indiana,2022-03,719115
Indiana,2022-04,705112
Indiana,2022-05,732957
Indiana,2022-06,713820
Indiana,2022-07,743336
Indiana,2022-08,752227
Indiana,2022-09,737203
Indiana,2022-10,768888
Indiana,2022-11,750937
Indiana,2022-12,783153
Iowa,2022-01,254197
Iowa,2022-02,248049
Iowa,2022-03,288263
Iowa,2022-04,284414
Iowa,2022-05,296323
Iowa,2022-06,288967
Iowa,2022-07,301612
Iowa,2022-08,305696
Iowa,2022-09,299962
Iowa,2022-10,314000
Iowa,2022-11,307214
Iowa,2022-12,320843
Kansas,2022-01,224884
Kansas,2022-02,219746
Kansas,2022-03,251741
Kansas,2022-04,255544
Kansas,2022-05,271899
Kansas,2022-06,269052
Kansas,2022-07,278483
Kansas,2022-08,278462
Kansas,2022-09,273442
Kansas,2022-10,297705
Kansas,2022-11,292114
Kansas,2022-12,304948
Kentucky,2022-01,389862
Kentucky,2022-02,376523
Kentucky,2022-03,446695
Kentucky,2022-04,456298
Kentucky,2022-05,488697
Kentucky,2022-06,481571
Kentucky,2022-07,503891
Kentucky,2022-08,512065
Kentucky,2022-09,504850
Kentucky,2022-10,531411
Kentucky,2022-11,523992
Kentucky,2022-12,547799
Louisiana,2022-01,472390
Louisiana,2022-02,454660
Louisiana,2022-03,524823
Louisiana,2022-04,515866
Louisiana,2022-05,536238
Louisiana,2022-06,521071
Louisiana,2022-07,541892
Louisiana,2022-08,549761
Louisiana,2022-09,538837
Louisiana,2022-10,561918
Louisiana,2022-11,546929
Louisiana,2022-12,567879
Maine,2022-01,51150
Maine,2022-02,52833
Maine,2022-03,66900
Maine,2022-04,67620
Maine,2022-05,72231
Maine,2022-06,71985
Maine,2022-07,76124
Maine,2022-08,77378
Maine,2022-09,76578
Maine,2022-10,81237
Maine,2022-11,81717
Maine,2022-12,86577
Maryland,2022-01,392565
Maryland,2022-02,389151
Maryland,2022-03,442080
Maryland,2022-04,431918
