state,total_deaths_2020
Alabama,526388
Alaska,13147
Arizona,1048821
Arkansas,285868
California,3065113
Colorado,542870
Connecticut,1119863
Delaware,145664
District of Columbia,146395
Florida,2632238
Georgia,1363977
Hawaii,27227
Idaho,109143
Illinois,2211390
Indiana,920773
Iowa,335716
Kansas,187629
Kentucky,285739
Louisiana,1184574
Maine,35654
Maryland,912049
Massachusetts,2222455
Michigan,1837617
Minnesota,531337
Mississippi,572569
Missouri,530055
Montana,58866
Nebraska,132992
Nevada,319370
New Hampshire,102996
New Jersey,3817150
New Mexico,217023
New York,8320598
North Carolina,734456
North Dakota,87065
Ohio,1062373
Oklahoma,233760
Oregon,128396
Pennsylvania,2002641
Puerto Rico,134516
Rhode Island,262024
South Carolina,618708
South Dakota,86828
Tennessee,540030
Texas,2927740
Utah,111507
Vermont,16434
Virginia,669043
Washington,504771
West Virginia,84127
Wisconsin,410977
Wyoming,20734
