state,total_deaths_2022
Alabama,7146725
Alaska,454003
American Samoa,8260
Arizona,10925069
Arkansas,4194348
California,33481697
Colorado,4665643
Connecticut,3999268
Delaware,1072467
District of Columbia,494152
Florida,27708002
Georgia,13387802
Guam,133543
Hawaii,547973
Idaho,1810558
Illinois,13938486
Indiana,8657235
Iowa,3509540
Kansas,3218020
Kentucky,5763654
Louisiana,6332264
Maine,862330
Maryland,5379529
Massachusetts,7831612
Michigan,13399520
Minnesota,4753802
Mississippi,4537968
Missouri,7548267
Montana,1235272
Nebraska,1567003
Nevada,3931233
New Hampshire,932348
New Jersey,12317356
New Mexico,2857608
New York,25338652
North Carolina,9096219
North Dakota,851094
Northern Mariana Islands,12630
Ohio,13944933
Oklahoma,5213054
Oregon,2827560
Pennsylvania,16531624
Puerto Rico,1680491
Rhode Island,1302673
South Carolina,6498922
South Dakota,1068056
Tennessee,9502505
Texas,32175258
Utah,1740612
Vermont,243904
Virgin Islands,42133
Virginia,7435951
Washington,4822544
West Virginia,2540649
Wisconsin,5290261
Wyoming,664976
