state,month,monthly_deaths_2021
Alabama,2021-01,186775
Alabama,2021-02,254883
Alabama,2021-03,320023
Alabama,2021-04,322507
Alabama,2021-05,342116
Alabama,2021-06,338204
Alabama,2021-07,354441
Alabama,2021-08,367172
Alabama,2021-09,392954
Alabama,2021-10,467101
Alabama,2021-11,478739
Alabama,2021-12,505603
Alaska,2021-01,7066
Alaska,2021-02,7644
Alaska,2021-03,9123
Alaska,2021-04,9337
Alaska,2021-05,10601
Alaska,2021-06,10651
Alaska,2021-07,11289
Alaska,2021-08,12228
Alaska,2021-09,13957
Alaska,2021-10,19379
Alaska,2021-11,24097
Alaska,2021-12,27913
Arizona,2021-01,342668
Arizona,2021-02,415598
Arizona,2021-03,513727
Arizona,2021-04,514125
Arizona,2021-05,541764
Arizona,2021-06,533742
Arizona,2021-07,560683
Arizona,2021-08,573548
Arizona,2021-09,581550
Arizona,2021-10,638056
Arizona,2021-11,652061
Arizona,2021-12,723278
Arkansas,2021-01,132941
Arkansas,2021-02,146201
Arkansas,2021-03,169225
Arkansas,2021-04,170568
Arkansas,2021-05,179528
Arkansas,2021-06,176056
Arkansas,2021-07,185923
Arkansas,2021-08,202246
Arkansas,2021-09,220382
Arkansas,2021-10,251320
Arkansas,2021-11,256947
Arkansas,2021-12,276323
California,2021-01,1029821
California,2021-02,1317354
California,2021-03,1747316
California,2021-04,1821547
California,2021-05,1941202
California,2021-06,1899128
California,2021-07,1984742
California,2021-08,2013834
California,2021-09,2029550
California,2021-10,2194685
California,2021-11,2204627
California,2021-12,2348622
Colorado,2021-01,166939
Colorado,2021-02,165468
Colorado,2021-03,189756
Colorado,2021-04,188851
Colorado,2021-05,203909
Colorado,2021-06,205244
Colorado,2021-07,217790
Colorado,2021-08,223234
Colorado,2021-09,225690
Colorado,2021-10,250039
Colorado,2021-11,267535
Colorado,2021-12,309293
Connecticut,2021-01,204066
Connecticut,2021-02,207285
Connecticut,2021-03,241425
Connecticut,2021-04,239697
Connecticut,2021-05,253536
Connecticut,2021-06,247889
Connecticut,2021-07,256766
Connecticut,2021-08,257881
Connecticut,2021-09,253865
Connecticut,2021-10,269885
Connecticut,2021-11,264775
Connecticut,2021-12,279497
Delaware,2021-01,31172
Delaware,2021-02,35950
Delaware,2021-03,46638
Delaware,2021-04,47762
Delaware,2021-05,51052
Delaware,2021-06,50453
Delaware,2021-07,52856
Delaware,2021-08,57300
Delaware,2021-09,57443
Delaware,2021-10,62760
Delaware,2021-11,64203
Delaware,2021-12,69235
District of Columbia,2021-01,26230
District of Columbia,2021-02,27279
District of Columbia,2021-03,32315
District of Columbia,2021-04,32644
District of Columbia,2021-05,34701
District of Columbia,2021-06,34159
District of Columbia,2021-07,35479
District of Columbia,2021-08,35730
District of Columbia,2021-09,35015
District of Columbia,2021-10,36687
District of Columbia,2021-11,35835
District of Columbia,2021-12,37295
Florida,2021-01,743799
Florida,2021-02,808567
Florida,2021-03,1002705
Florida,2021-04,1029228
Florida,2021-05,1118745
Florida,2021-06,1121639
Florida,2021-07,1189731
Florida,2021-08,1283178
Florida,2021-09,1502849
Florida,2021-10,1786479
Florida,2021-11,1821188
Florida,2021-12,1925137
Georgia,2021-01,370056
Georgia,2021-02,433076
Georgia,2021-03,550272
Georgia,2021-04,571268
Georgia,2021-05,616083
Georgia,2021-06,615217
Georgia,2021-07,646364
Georgia,2021-08,662717
Georgia,2021-09,706349
Georgia,2021-10,830648
Georgia,2021-11,864905
Georgia,2021-12,924790
Hawaii,2021-01,10172
Hawaii,2021-02,11820
Hawaii,2021-03,13891
Hawaii,2021-04,14099
Hawaii,2021-05,15135
Hawaii,2021-06,15164
Hawaii,2021-07,16145
Hawaii,2021-08,17159
Hawaii,2021-09,20423
Hawaii,2021-10,26518
